payment_id,merchant_id,amount,payment_method,bank,gateway,bank_status,gateway_status,auth_status,capture_status,merchant_order_status,merchant_fulfillment_status,webhook_status,webhook_http_code,webhook_attempt_count,settlement_status,refund_status,bank_reversal_status,bank_latency_ms,gateway_latency_ms,transaction_age_seconds,time_of_day_hour,retry_count,amount_deviation_score,historical_merchant_failure_rate,is_amount_matched,is_duplicate_candidate,target_incident_class
pay_synth_0006501,merch_bookmyshow,2297.16,UPI,AXIS,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,CANCELLED,FAILED,200,1,ON_HOLD,NONE,NONE,293857,295795,248190,2,0,1.0883,0.0531,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0002945,merch_flipkart,4251.18,UPI,YES_BANK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,586,772,14270,3,0,0.2146,0.033,1,0,NORMAL
pay_synth_0002025,merch_flipkart,571.81,EMI,PNB,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,422,688,108840,21,0,-0.8366,0.0403,1,0,NORMAL
pay_synth_0000264,merch_zomato,389.4,UPI,KOTAK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,716,882,136420,23,0,-0.4592,0.0213,1,0,NORMAL
pay_synth_0004351,merch_amazon_in,825.21,UPI,SBI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,FAILED,404,3,SETTLED,NONE,NONE,520,857,59800,0,0,-0.7053,0.0237,1,0,MISSING_WEBHOOK
pay_synth_0003425,merch_makemytrip,4306.48,NET_BANKING,INDUSIND,PAYU,SUCCESS,SUCCESS,AUTHORIZED,PENDING,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,64335,65696,25353,11,0,-0.6555,0.0638,1,0,DELAYED_CONFIRMATION
pay_synth_0006749,merch_zepto,354.27,DEBIT_CARD,HDFC,PAYU,SUCCESS,FAILED,FAILED,FAILED,EXPIRED,UNFULFILLED,DELIVERED,0,1,DISCREPANCY,PENDING,CREDITED_TO_CUSTOMER,126439,21585,121300,22,3,-0.2619,0.0307,1,0,UNRESOLVED
pay_synth_0006216,merch_blinkit,156.87,CREDIT_CARD,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,PROCESSED,NONE,168356,171446,41080,7,0,-0.6265,0.0374,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0006363,merch_makemytrip,9190.55,UPI,AXIS,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,PROCESSED,NONE,282919,283870,55341,10,0,-0.2648,0.0738,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0005590,merch_amazon_in,7055.54,CREDIT_CARD,SBI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,MANUAL_INTERVENTION_REQUIRED,AWAITING_ACK,394,521,206888,19,0,1.5198,0.0235,1,0,REFUND_UNCERTAINTY
pay_synth_0000133,merch_flipkart,1850.36,UPI,INDUSIND,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,5554,6917,152950,6,1,-0.4713,0.0318,1,1,NORMAL
pay_synth_0006407,merch_flipkart,3331.46,UPI,PNB,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,FAILED,200,1,ON_HOLD,NONE,NONE,280080,282379,135443,20,0,-0.0482,0.0371,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0004280,merch_zomato,895.73,CREDIT_CARD,KOTAK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,FAILED,0,5,PENDING,NONE,NONE,622,761,69011,19,0,0.2441,0.0293,1,0,MISSING_WEBHOOK
pay_synth_0002399,merch_tatacliq,5435.63,UPI,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,424,688,47827,19,0,0.1324,0.0512,1,0,NORMAL
pay_synth_0005713,merch_amazon_in,4681.7,UPI,ICICI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,738,1032,175084,21,0,0.073,0.0254,1,0,SETTLEMENT_MISMATCH
pay_synth_0003255,merch_makemytrip,15584.87,UPI,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PROCESSING,PROCESSING,DELIVERED,200,2,SETTLED,NONE,NONE,30420,35368,203421,21,0,0.2468,0.0731,1,0,DELAYED_CONFIRMATION
pay_synth_0006027,merch_makemytrip,23775.09,UPI,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,264714,267084,111861,13,0,0.902,0.0717,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0002265,merch_myntra,2857.6,CREDIT_CARD,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,429,628,44882,20,0,0.504,0.0457,1,0,NORMAL
pay_synth_0001942,merch_tatacliq,3794.78,CREDIT_CARD,KOTAK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,289,486,107137,0,1,-0.2094,0.0618,1,0,NORMAL
pay_synth_0000764,merch_amazon_in,2643.18,UPI,AXIS,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,484,709,22468,9,0,-0.056,0.015,1,0,NORMAL
pay_synth_0003177,merch_makemytrip,5184.42,UPI,HDFC,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,PENDING,PAID,PROCESSING,SCHEDULED,200,3,SETTLED,NONE,NONE,33637,34517,143424,9,0,-0.5852,0.0654,1,0,DELAYED_CONFIRMATION
pay_synth_0003046,merch_bookmyshow,321.53,NET_BANKING,INDUSIND,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,679,792,112193,13,0,-0.7077,0.0525,1,0,NORMAL
pay_synth_0003065,merch_flipkart,1410.69,UPI,YES_BANK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,3971,4623,212680,13,0,-0.5969,0.0375,1,0,NORMAL
pay_synth_0000102,merch_swiggy,505.01,UPI,AXIS,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,715,951,137411,14,0,-0.2231,0.0301,1,0,NORMAL
