amount,payment_method,bank,gateway,bank_status,gateway_status,auth_status,capture_status,merchant_order_status,merchant_fulfillment_status,webhook_status,webhook_http_code,webhook_attempt_count,settlement_status,refund_status,bank_reversal_status,bank_latency_ms,gateway_latency_ms,transaction_age_seconds,time_of_day_hour,retry_count,amount_deviation_score,historical_merchant_failure_rate,is_amount_matched,is_duplicate_candidate,target_incident_class
389.77,DEBIT_CARD,PNB,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,PROCESSED,NONE,293012,294789,36609,1,0,-0.6457,0.0428,1,0,ORDER_PAYMENT_CONFLICT
5599.69,CREDIT_CARD,HDFC,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,NONE,AWAITING_ACK,350,519,156864,20,1,1.9472,0.0411,1,1,DUPLICATE_PAYMENT
1778.38,CREDIT_CARD,ICICI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,249,480,156051,0,0,-0.6295,0.0603,1,0,NORMAL
8488.29,UPI,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,642,801,173517,6,0,1.4252,0.0443,1,0,NORMAL
2029.97,NET_BANKING,AXIS,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,3,SETTLED,NONE,NONE,614,913,247019,17,0,1.8194,0.0327,1,0,NORMAL
904.08,CREDIT_CARD,SBI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,407,577,23439,20,0,-0.5242,0.0545,1,0,NORMAL
1736.05,UPI,AXIS,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,550,738,55707,20,0,0.6268,0.0475,1,0,SETTLEMENT_MISMATCH
1284.55,UPI,HDFC,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,1594,2471,221380,6,0,0.7841,0.0266,1,0,NORMAL
462.17,WALLET,PNB,RAZORPAY,SUCCESS,TIMED_OUT,TIMEOUT,FAILED,CANCELLED,CANCELLED,NONE,504,1,ON_HOLD,INITIATED,NOT_INITIATED,467,69409,245526,16,0,0.1004,0.0385,1,0,BANK_DEBIT_GATEWAY_FAILURE
1454.47,NET_BANKING,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,DROPPED,404,3,ON_HOLD,NONE,NONE,428,428,29731,13,0,-0.4805,0.0237,1,0,MISSING_WEBHOOK
2110.54,CREDIT_CARD,ICICI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,617,798,3020,5,0,-0.2462,0.0285,1,0,NORMAL
257.2,UPI,PNB,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,324,464,75873,19,0,-0.4642,0.0492,1,0,NORMAL
